x coord, y coord, z coord, scalar 
0.020259, 0.0540229, 0, 0
0.020259, 0.234857, 0, 0
0.020259, 0.516567, 0, 0
0.020259, 0.834697, 0, 0
0.020259, 1.11639, 0, 0
0.020259, 1.2972, 0, 0
0.101637, 0.0901846, 0, 0
0.101637, 0.270984, 0, 0
0.101637, 0.552614, 0, 0
0.101637, 0.870615, 0, 0
0.101637, 1.15216, 0, 0
0.101637, 1.33286, 0, 0
0.228414, 0.146513, 0, 0
0.228414, 0.327233, 0, 0
0.228414, 0.608696, 0, 0
0.228414, 0.926447, 0, 0
0.228414, 1.20772, 0, 0
0.228414, 1.38822, 0, 0
0.371586, 0.210116, 0, 0
0.371586, 0.390706, 0, 0
0.371586, 0.67192, 0, 0
0.371586, 0.989322, 0, 0
0.371586, 1.27022, 0, 0
0.371586, 1.45045, 0, 0
0.498363, 0.266428, 0, 0
0.498363, 0.446868, 0, 0
0.498363, 0.727808, 0, 0
0.498363, 1.04484, 0, 0
0.498363, 1.32535, 0, 0
0.498363, 1.50531, 0, 0
0.579741, 0.30257, 0, 0
0.579741, 0.482897, 0, 0
0.579741, 0.763634, 0, 0
0.579741, 1.0804, 0, 0
0.579741, 1.36064, 0, 0
0.579741, 1.54041, 0, 0
0.620259, 0.320562, 0, 0
0.620259, 0.500824, 0, 0
0.620259, 0.781449, 0, 0
0.620259, 1.09807, 0, 0
0.620259, 1.37817, 0, 0
0.620259, 1.55784, 0, 0
0.701637, 0.356695, 0, 0
0.701637, 0.536808, 0, 0
0.701637, 0.817186, 0, 0
0.701637, 1.13351, 0, 0
0.701637, 1.41332, 0, 0
0.701637, 1.5928, 0, 0
0.828414, 0.412978, 0, 0
0.828414, 0.592838, 0, 0
0.828414, 0.872796, 0, 0
0.828414, 1.18861, 0, 0
0.828414, 1.46794, 0, 0
0.828414, 1.6471, 0, 0
0.971586, 0.476532, 0, 0
0.971586, 0.656071, 0, 0
0.971586, 0.935503, 0, 0
0.971586, 1.25068, 0, 0
0.971586, 1.52942, 0, 0
0.971586, 1.70817, 0, 0
1.09836, 0.532802, 0, 0
1.09836, 0.712026, 0, 0
1.09836, 0.990946, 0, 0
1.09836, 1.30551, 0, 0
1.09836, 1.58368, 0, 0
1.09836, 1.76205, 0, 0
1.17974, 0.568917, 0, 0
1.17974, 0.747926, 0, 0
1.17974, 1.02649, 0, 0
1.17974, 1.34064, 0, 0
1.17974, 1.61841, 0, 0
1.17974, 1.79652, 0, 0
1.22026, 0.586897, 0, 0
1.22026, 0.76579, 0, 0
1.22026, 1.04417, 0, 0
1.22026, 1.3581, 0, 0
1.22026, 1.63568, 0, 0
1.22026, 1.81366, 0, 0
1.30164, 0.623004, 0, 0
1.30164, 0.801652, 0, 0
1.30164, 1.07965, 0, 0
1.30164, 1.39313, 0, 0
1.30164, 1.6703, 0, 0
