x coord, y coord, z coord, scalar 
1.52456, 5.67184, 0, 0
1.52456, 5.87598, 0, 0
1.52456, 6.10651, 0, 0
1.52456, 6.31065, 0, 0
1.52456, 6.44169, 0, 0
3.42621, 6.17327, 0, 0
3.42621, 6.29857, 0, 0
3.42621, 6.49378, 0, 0
3.42621, 6.71423, 0, 0
3.42621, 6.90944, 0, 0
3.42621, 7.03474, 0, 0
5.57379, 6.88751, 0, 0
5.57379, 7.00634, 0, 0
5.57379, 7.19147, 0, 0
5.57379, 7.40053, 0, 0
5.57379, 7.58565, 0, 0
5.57379, 7.70448, 0, 0
7.47544, 7.51997, 0, 0
7.47544, 7.63307, 0, 0
7.47544, 7.80926, 0, 0
7.47544, 8.00824, 0, 0
7.47544, 8.18444, 0, 0
7.47544, 8.29754, 0, 0
8.69611, 7.92595, 0, 0
8.69612, 8.03537, 0, 0
8.69612, 8.20583, 0, 0
8.69612, 8.39833, 0, 0
8.69612, 8.5688, 0, 0
8.69611, 8.67822, 0, 0
0.303885, 6.12808, 0, 0
0.303885, 6.26279, 0, 0
0.303885, 6.47266, 0, 0
0.303885, 6.70967, 0, 0
0.303885, 6.91954, 0, 0
0.303885, 7.05425, 0, 0
1.52456, 6.50693, 0, 0
1.52456, 6.63796, 0, 0
1.52456, 6.8421, 0, 0
1.52456, 7.07264, 0, 0
1.52456, 7.27677, 0, 0
1.52456, 7.40781, 0, 0
3.42621, 7.09713, 0, 0
3.42621, 7.22243, 0, 0
3.42621, 7.41764, 0, 0
3.42621, 7.63809, 0, 0
3.42621, 7.8333, 0, 0
3.42621, 7.9586, 0, 0
5.57379, 7.76365, 0, 0
5.57379, 7.88248, 0, 0
5.57379, 8.0676, 0, 0
5.57379, 8.27667, 0, 0
5.57379, 8.46179, 0, 0
5.57379, 8.58062, 0, 0
7.47544, 8.35385, 0, 0
7.47544, 8.46695, 0, 0
7.47544, 8.64314, 0, 0
7.47544, 8.84212, 0, 0
7.47544, 9.01832, 0, 0
7.47544, 9.13142, 0, 0
8.69611, 8.7327, 0, 0
8.69612, 8.84212, 0, 0
8.69612, 9.01258, 0, 0
8.69612, 9.20509, 0, 0
8.69612, 9.37555, 0, 0
8.69611, 9.48497, 0, 0
0.303885, 7.12133, 0, 0
0.303885, 7.25604, 0, 0
0.303885, 7.46591, 0, 0
0.303885, 7.70292, 0, 0
0.303885, 7.91278, 0, 0
0.303885, 8.0475, 0, 0
1.52456, 7.47305, 0, 0
1.52456, 7.60408, 0, 0
1.52456, 7.80822, 0, 0
1.52456, 8.03876, 0, 0
1.52456, 8.24289, 0, 0
1.52456, 8.37393, 0, 0
3.42621, 8.02099, 0, 0
3.42621, 8.14629, 0, 0
3.42621, 8.3415, 0, 0
3.42621, 8.56195, 0, 0
3.42621, 8.75716, 0, 0
3.42621, 8.88246, 0, 0
5.57379, 8.63979, 0, 0
5.57379, 8.75862, 0, 0
5.57379, 8.94374, 0, 0
5.57379, 9.15281, 0, 0
5.57379, 9.33793, 0, 0
5.57379, 9.45676, 0, 0
7.47544, 9.18773, 0, 0
7.47544, 9.30083, 0, 0
7.47544, 9.47702, 0, 0
7.47544, 9.676, 0, 0
7.47544, 9.8522, 0, 0
7.47544, 9.96529, 0, 0
8.69611, 9.53945, 0, 0
8.69612, 9.64887, 0, 0
8.69612, 9.81933, 0, 0
8.69612, 10.0118, 0, 0
8.69612, 10.1823, 0, 0
8.69611, 10.2917, 0, 0
0.303885, 8.11457, 0, 0
0.303885, 8.24929, 0, 0
0.303885, 8.45916, 0, 0
0.303885, 8.69616, 0, 0
0.303885, 8.90603, 0, 0
0.303885, 9.04075, 0, 0
1.52456, 8.43917, 0, 0
1.52456, 8.57021, 0, 0
1.52456, 8.77434, 0, 0
1.52456, 9.00488, 0, 0
1.52456, 9.20901, 0, 0
1.52456, 9.34005, 0, 0
3.42621, 8.94485, 0, 0
3.42621, 9.07016, 0, 0
3.42621, 9.26536, 0, 0
3.42621, 9.48581, 0, 0
3.42621, 9.68102, 0, 0
3.42621, 9.80632, 0, 0
5.57379, 9.51593, 0, 0
5.57379, 9.63476, 0, 0
5.57379, 9.81988, 0, 0
5.57379, 10.0289, 0, 0
5.57379, 10.2141, 0, 0
5.57379, 10.3329, 0, 0
7.47544, 10.0216, 0, 0
7.47544, 10.1347, 0, 0
7.47544, 10.3109, 0, 0
7.47544, 10.5099, 0, 0
7.47544, 10.6861, 0, 0
7.47544, 10.7992, 0, 0
8.69611, 10.3462, 0, 0
8.69612, 10.4556, 0, 0
8.69612, 10.6261, 0, 0
8.69612, 10.8186, 0, 0
8.69612, 10.9891, 0, 0
8.69611, 11.0985, 0, 0
0.303885, 9.10782, 0, 0
0.303885, 9.24253, 0, 0
0.303885, 9.4524, 0, 0
0.303885, 9.68941, 0, 0
0.303885, 9.89928, 0, 0
0.303885, 10.034, 0, 0
1.52456, 9.40529, 0, 0
1.52456, 9.53633, 0, 0
1.52456, 9.74046, 0, 0
1.52456, 9.971, 0, 0
1.52456, 10.1751, 0, 0
1.52456, 10.3062, 0, 0
3.42621, 9.86871, 0, 0
3.42621, 9.99402, 0, 0
3.42621, 10.1892, 0, 0
3.42621, 10.4097, 0, 0
3.42621, 10.6049, 0, 0
3.42621, 10.7302, 0, 0
5.57379, 10.3921, 0, 0
5.57379, 10.5109, 0, 0
5.57379, 10.696, 0, 0
5.57379, 10.9051, 0, 0
5.57379, 11.0902, 0, 0
5.57379, 11.209, 0, 0
7.47544, 10.8555, 0, 0
7.47544, 10.9686, 0, 0
7.47544, 11.1448, 0, 0
7.47544, 11.3438, 0, 0
7.47544, 11.52, 0, 0
7.47544, 11.6331, 0, 0
8.69611, 11.153, 0, 0
8.69612, 11.2624, 0, 0
8.69612, 11.4328, 0, 0
8.69612, 11.6253, 0, 0
8.69612, 11.7958, 0, 1.01799e-05
8.69611, 11.9052, 0, 2.17761e-05
0.303885, 10.1011, 0, 0
0.303885, 10.2358, 0, 0
0.303885, 10.4456, 0, 0
0.303885, 10.6827, 0, 0
0.303885, 10.8925, 0, 0
0.303885, 11.0272, 0, 0
1.52456, 10.3714, 0, 0
1.52456, 10.5024, 0, 0
1.52456, 10.7066, 0, 0
1.52456, 10.9371, 0, 0
1.52456, 11.1413, 0, 0
1.52456, 11.2723, 0, 0
3.42621, 10.7926, 0, 0
3.42621, 10.9179, 0, 0
3.42621, 11.1131, 0, 0
3.42621, 11.3335, 0, 0
3.42621, 11.5287, 0, 0
3.42621, 11.654, 0, 0
5.57379, 11.2682, 0, 0
5.57379, 11.387, 0, 0
5.57379, 11.5722, 0, 0
5.57379, 11.7812, 0, 5.67977e-06
5.57379, 11.9663, 0, 3.90742e-05
5.57379, 12.0852, 0, 6.1189e-05
7.47544, 11.6894, 0, 0
7.47544, 11.8025, 0, 1.35625e-05
7.47544, 11.9787, 0, 5.34741e-05
7.47544, 12.1776, 0, 0.000100234
7.47544, 12.3538, 0, 0.000143165
7.47544, 12.4669, 0, 0.000171466
8.69611, 11.9597, 0, 5.74998e-05
8.69612, 12.0691, 0, 8.6509e-05
8.69612, 12.2396, 0, 0.000132921
8.69612, 12.4321, 0, 0.000187138
8.69612, 12.6026, 0, 0.000236725
8.69611, 12.712, 0, 0.000269339
0.303885, 11.0943, 0, 0
0.303885, 11.229, 0, 2.25597e-05
0.303885, 11.4389, 0, 0.000113872
0.303885, 11.6759, 0, 0.000216952
0.303885, 11.8858, 0, 0.000308221
0.303885, 12.0205, 0, 0.0003668
1.52456, 11.3375, 0, 0
1.52456, 11.4686, 0, 8.71707e-06
1.52456, 11.6727, 0, 9.78674e-05
1.52456, 11.9032, 0, 0.000198549
1.52456, 12.1074, 0, 0.000287673
1.52456, 12.2384, 0, 0.000344871
3.42621, 11.7164, 0, 0
3.42621, 11.8417, 0, 3.05118e-05
3.42621, 12.0369, 0, 0.000116251
3.42621, 12.2574, 0, 0.000213081
3.42621, 12.4526, 0, 0.000298823
3.42621, 12.5779, 0, 0.000353849
5.57379, 12.1443, 0, 7.44056e-05
5.57379, 12.2632, 0, 0.000126953
5.57379, 12.4483, 0, 0.000208787
5.57379, 12.6574, 0, 0.000301231
5.57379, 12.8425, 0, 0.000383069
5.57379, 12.9613, 0, 0.000435583
7.47544, 12.5232, 0, 0.000235641
7.47544, 12.6363, 0, 0.000286029
7.47544, 12.8125, 0, 0.000364482
7.47544, 13.0115, 0, 0.000453025
7.47544, 13.1877, 0, 0.000531369
7.47544, 13.3008, 0, 0.000581629
8.69611, 12.7665, 0, 0.000381686
8.69612, 12.8759, 0, 0.00043065
8.69612, 13.0463, 0, 0.00050686
8.69612, 13.2389, 0, 0.000592849
8.69612, 13.4093, 0, 0.000668911
8.69611, 13.5187, 0, 0.000717689
0.303885, 12.0876, 0, 0.000417274
0.303885, 12.2223, 0, 0.000489462
0.303885, 12.4321, 0, 0.000601752
0.303885, 12.6692, 0, 0.00072833
0.303885, 12.879, 0, 0.000840195
0.303885, 13.0137, 0, 0.0009119
1.52456, 12.3037, 0, 0.000398291
1.52456, 12.4347, 0, 0.000467163
